id,fecha_nacimiento,fecha_alta,id_municipio,id_estado,tipo_persona,genero,actividad_empresarial
9980f12e32711330d5f58460e169e6207afda041,1984-06-19,2015-10-25,6822006,68,Persona Fisica Sin Actividad Empresarial, ,EMPLEADO DEL SECTOR SERVICIOS
93512ea145c3d81ba7a7ff641faf992fd307072e,1986-12-21,2018-02-11,6822014,68,Persona Fisica Con Actividad Empresarial,F,COMPRAVENTA DE ARTICULOS DE FERRETERIA
acb2fee5aea2d73a88359d438aaedeea731554f8,1991-02-01,2019-05-12,6115121,61,Persona Fisica Con Actividad Empresarial,M,AGENCIA DE PUBLICIDAD
b627227d2f20116510bcb12de34e6a188cf8d054,1994-05-23,2017-07-19,6923005,69,Persona Fisica Sin Actividad Empresarial,F,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE
054be5f40d50b28d2b82af57159343989dd28012,1990-10-03,2017-05-21,6014120,60,Persona Fisica Sin Actividad Empresarial,M,EMPLEADO DEL SECTOR SERVICIOS
e7a86bf5f62bcac9ca4c7003175e5366d759b284,1962-05-19,2017-05-16,5408019,54,Persona Fisica Con Actividad Empresarial,F,EMPLEADO DEL SECTOR SERVICIOS
c935634fbe417eb2a8444624b5e599475d06fb17,1989-04-06,2017-03-11,6519019,65,Persona Fisica Sin Actividad Empresarial,M,AMA DE CASA
1ec46b0c54a296addafefaf286c1059d0d65596b,1987-10-12,2017-02-13,5105035,51,Persona Fisica Sin Actividad Empresarial,M,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE
eb86ccb9bfaca3ba1b3b7dd1e0f1053ca00df348,2002-09-30,2023-05-08,4802002,48,Persona Fisica Sin Actividad Empresarial,M,EMPLEADO DEL SECTOR SERVICIOS
cb8a723a25c36e1679f56997be30195c7c4968dd,1991-12-07,2021-06-27,6115106,61,Persona Fisica Sin Actividad Empresarial,F,EMPLEADO DEL SECTOR SERVICIOS
40227d8067c3d0fd6cd1d6b8605cc310bc72692a,1988-10-08,2021-06-13,5509015,55,Persona Fisica Sin Actividad Empresarial,M,PROFESIONISTA INDEPENDIENTE
2645c45560663c2aaa72b3dde41c2a0f773707c0,1957-07-19,2021-05-03,6721114,67,Persona Fisica Sin Actividad Empresarial,F,AMA DE CASA
7ca33022d73d474e23092d0d40ea415285e7fb05,1984-02-02,2021-05-02,6519046,65,Persona Fisica Sin Actividad Empresarial,M,PRESTACION DE OTROS SERVICIOS TECNICOS
8cc0d1d598b36a86858b401e08b1d4d641e726ac,1989-07-19,2021-04-05,6014097,60,Persona Fisica Sin Actividad Empresarial,M,EMPLEADO DEL SECTOR INDUSTRIAL
577070ea216d0d3948df5eb039eda349d4ab0321,1999-03-06,2021-04-04,6519039,65,Persona Fisica Sin Actividad Empresarial,F,EMPLEADO DEL SECTOR SERVICIOS
f9d71337174bd26b4d4e3da8ca9b2127df6d7c4b,1993-10-27,2021-03-09,6519048,65,Persona Fisica Sin Actividad Empresarial,F,SERVICIOS MEDICO GENERAL Y ESPECIALIZADO EN CONSULTORIOS
11f4222f90ef9db317be7d3bcb386ac25ece3e46,1988-09-22,2021-02-24,6519006,65,Persona Fisica Sin Actividad Empresarial,F,AMA DE CASA
c5d8e8c04a4abef983ec1c45a8b2ef3cb0f27116,1981-09-02,2021-02-22,6014120,60,Persona Fisica Sin Actividad Empresarial,M,SERVICIOS DE ANALISIS DE SISTEMAS Y PROCESAMIENTO ELECTRONICO DE DATOS
